Date,BankName,Rating
2022-01-01,BNB,11
2022-01-02,BNB,81
2022-01-03,BNB,84
2022-01-04,BNB,33
2022-01-05,BNB,25
2022-01-06,BNB,66
2022-01-07,BNB,80
2022-01-08,BNB,32
2022-01-09,BNB,70
2022-01-10,BNB,76
2022-01-11,BNB,19
2022-01-12,BNB,75
2022-01-13,BNB,49
2022-01-14,BNB,56
2022-01-15,BNB,31
2022-01-16,BNB,39
2022-01-17,BNB,91
2022-01-18,BNB,88
2022-01-19,BNB,31
2022-01-20,BNB,41
2022-01-21,BNB,86
2022-01-22,BNB,37
2022-01-23,BNB,24
2022-01-24,BNB,37
2022-01-25,BNB,6
2022-01-26,BNB,83
2022-01-27,BNB,86
2022-01-28,BNB,43
2022-01-29,BNB,49
2022-01-30,BNB,33
2022-01-31,BNB,48
2022-02-01,BNB,63
2022-02-02,BNB,63
2022-02-03,BNB,61
2022-02-04,BNB,100
2022-02-05,BNB,7
2022-02-06,BNB,6
2022-02-07,BNB,72
2022-02-08,BNB,53
2022-02-09,BNB,23
2022-02-10,BNB,25
2022-02-11,BNB,16
2022-02-12,BNB,57
2022-02-13,BNB,29
2022-02-14,BNB,89
2022-02-15,BNB,43
2022-02-16,BNB,67
2022-02-17,BNB,17
2022-02-18,BNB,19
2022-02-19,BNB,46
2022-02-20,BNB,76
2022-02-21,BNB,0
2022-02-22,BNB,42
2022-02-23,BNB,94
2022-02-24,BNB,18
2022-02-25,BNB,96
2022-02-26,BNB,95
2022-02-27,BNB,6
2022-02-28,BNB,17
2022-03-01,BNB,78
2022-03-02,BNB,91
2022-03-03,BNB,90
2022-03-04,BNB,6
2022-03-05,BNB,42
2022-03-06,BNB,16
2022-03-07,BNB,73
2022-03-08,BNB,94
2022-03-09,BNB,44
2022-03-10,BNB,62
2022-03-11,BNB,67
2022-03-12,BNB,67
2022-03-13,BNB,38
2022-03-14,BNB,1
2022-03-15,BNB,91
2022-03-16,BNB,93
2022-03-17,BNB,50
2022-03-18,BNB,22
2022-03-19,BNB,89
2022-03-20,BNB,77
2022-03-21,BNB,31
2022-03-22,BNB,9
2022-03-23,BNB,61
2022-03-24,BNB,19
2022-03-25,BNB,90
2022-03-26,BNB,77
2022-03-27,BNB,0
2022-03-28,BNB,13
2022-03-29,BNB,2
2022-03-30,BNB,95
2022-03-31,BNB,78
2022-04-01,BNB,83
2022-04-02,BNB,66
2022-04-03,BNB,39
2022-04-04,BNB,38
2022-04-05,BNB,6
2022-04-06,BNB,84
2022-04-07,BNB,2
2022-04-08,BNB,3
2022-04-09,BNB,41
2022-04-10,BNB,8
2022-04-11,BNB,25
2022-04-12,BNB,42
2022-04-13,BNB,80
2022-04-14,BNB,96
2022-04-15,BNB,1
2022-04-16,BNB,11
2022-04-17,BNB,10
2022-04-18,BNB,29
2022-04-19,BNB,47
2022-04-20,BNB,52
2022-04-21,BNB,49
2022-04-22,BNB,91
2022-04-23,BNB,77
2022-04-24,BNB,8
2022-04-25,BNB,10
2022-04-26,BNB,63
2022-04-27,BNB,21
2022-04-28,BNB,69
2022-04-29,BNB,34
2022-04-30,BNB,19
2022-05-01,BNB,47
2022-05-02,BNB,63
2022-05-03,BNB,47
2022-05-04,BNB,93
2022-05-05,BNB,15
2022-05-06,BNB,61
2022-05-07,BNB,54
2022-05-08,BNB,70
2022-05-09,BNB,92
2022-05-10,BNB,14
2022-05-11,BNB,99
2022-05-12,BNB,8
2022-05-13,BNB,97
2022-05-14,BNB,17
2022-05-15,BNB,59
2022-05-16,BNB,44
2022-05-17,BNB,36
2022-05-18,BNB,3
2022-05-19,BNB,18
2022-05-20,BNB,52
2022-05-21,BNB,85
2022-05-22,BNB,81
2022-05-23,BNB,90
2022-05-24,BNB,53
2022-05-25,BNB,94
2022-05-26,BNB,77
2022-05-27,BNB,45
2022-05-28,BNB,5
2022-05-29,BNB,41
2022-05-30,BNB,33
2022-05-31,BNB,2
2022-06-01,BNB,81
2022-06-02,BNB,39
2022-06-03,BNB,28
2022-06-04,BNB,35
2022-06-05,BNB,73
2022-06-06,BNB,99
2022-06-07,BNB,11
2022-06-08,BNB,76
2022-06-09,BNB,30
2022-06-10,BNB,1
