Date,BankName,Rating
2022-01-01,DSK,94
2022-01-02,DSK,91
2022-01-03,DSK,34
2022-01-04,DSK,83
2022-01-05,DSK,97
2022-01-06,DSK,64
2022-01-07,DSK,9
2022-01-08,DSK,78
2022-01-09,DSK,78
2022-01-10,DSK,61
2022-01-11,DSK,97
2022-01-12,DSK,44
2022-01-13,DSK,46
2022-01-14,DSK,52
2022-01-15,DSK,12
2022-01-16,DSK,69
2022-01-17,DSK,26
2022-01-18,DSK,39
2022-01-19,DSK,11
2022-01-20,DSK,22
2022-01-21,DSK,84
2022-01-22,DSK,25
2022-01-23,DSK,18
2022-01-24,DSK,81
2022-01-25,DSK,53
2022-01-26,DSK,32
2022-01-27,DSK,87
2022-01-28,DSK,41
2022-01-29,DSK,18
2022-01-30,DSK,55
2022-01-31,DSK,37
2022-02-01,DSK,38
2022-02-02,DSK,7
2022-02-03,DSK,20
2022-02-04,DSK,67
2022-02-05,DSK,25
2022-02-06,DSK,95
2022-02-07,DSK,33
2022-02-08,DSK,35
2022-02-09,DSK,59
2022-02-10,DSK,89
2022-02-11,DSK,91
2022-02-12,DSK,12
2022-02-13,DSK,76
2022-02-14,DSK,29
2022-02-15,DSK,43
2022-02-16,DSK,82
2022-02-17,DSK,76
2022-02-18,DSK,41
2022-02-19,DSK,49
2022-02-20,DSK,52
2022-02-21,DSK,65
2022-02-22,DSK,6
2022-02-23,DSK,45
2022-02-24,DSK,5
2022-02-25,DSK,26
2022-02-26,DSK,34
2022-02-27,DSK,7
2022-02-28,DSK,57
2022-03-01,DSK,38
2022-03-02,DSK,73
2022-03-03,DSK,86
2022-03-04,DSK,89
2022-03-05,DSK,23
2022-03-06,DSK,15
2022-03-07,DSK,24
2022-03-08,DSK,35
2022-03-09,DSK,27
2022-03-10,DSK,40
2022-03-11,DSK,3
2022-03-12,DSK,91
2022-03-13,DSK,82
2022-03-14,DSK,27
2022-03-15,DSK,8
2022-03-16,DSK,68
2022-03-17,DSK,94
2022-03-18,DSK,13
2022-03-19,DSK,18
2022-03-20,DSK,60
2022-03-21,DSK,7
2022-03-22,DSK,8
2022-03-23,DSK,8
2022-03-24,DSK,79
2022-03-25,DSK,100
2022-03-26,DSK,47
2022-03-27,DSK,80
2022-03-28,DSK,73
2022-03-29,DSK,74
2022-03-30,DSK,70
2022-03-31,DSK,84
2022-04-01,DSK,100
2022-04-02,DSK,49
2022-04-03,DSK,57
2022-04-04,DSK,84
2022-04-05,DSK,74
2022-04-06,DSK,68
2022-04-07,DSK,76
2022-04-08,DSK,24
2022-04-09,DSK,86
2022-04-10,DSK,55
2022-04-11,DSK,7
2022-04-12,DSK,12
2022-04-13,DSK,38
2022-04-14,DSK,66
2022-04-15,DSK,75
2022-04-16,DSK,55
2022-04-17,DSK,97
2022-04-18,DSK,6
2022-04-19,DSK,16
2022-04-20,DSK,25
2022-04-21,DSK,8
2022-04-22,DSK,61
2022-04-23,DSK,23
2022-04-24,DSK,29
2022-04-25,DSK,99
2022-04-26,DSK,57
2022-04-27,DSK,36
2022-04-28,DSK,75
2022-04-29,DSK,50
2022-04-30,DSK,45
