Date,BankName,Rating
2022-01-01,POST,12
2022-01-02,POST,94
2022-01-03,POST,38
2022-01-04,POST,100
2022-01-05,POST,41
2022-01-06,POST,42
2022-01-07,POST,85
2022-01-08,POST,24
2022-01-09,POST,12
2022-01-10,POST,80
2022-01-11,POST,0
2022-01-12,POST,47
2022-01-13,POST,22
2022-01-14,POST,97
2022-01-15,POST,8
2022-01-16,POST,71
2022-01-17,POST,76
2022-01-18,POST,16
2022-01-19,POST,73
2022-01-20,POST,15
2022-01-21,POST,84
2022-01-22,POST,14
2022-01-23,POST,72
2022-01-24,POST,91
2022-01-25,POST,62
2022-01-26,POST,0
2022-01-27,POST,2
2022-01-28,POST,68
2022-01-29,POST,15
2022-01-30,POST,14
2022-01-31,POST,11
2022-02-01,POST,26
2022-02-02,POST,67
2022-02-03,POST,75
2022-02-04,POST,86
2022-02-05,POST,19
2022-02-06,POST,72
2022-02-07,POST,5
2022-02-08,POST,99
2022-02-09,POST,61
2022-02-10,POST,79
2022-02-11,POST,47
2022-02-12,POST,44
2022-02-13,POST,20
2022-02-14,POST,9
2022-02-15,POST,21
2022-02-16,POST,15
2022-02-17,POST,87
2022-02-18,POST,95
2022-02-19,POST,99
2022-02-20,POST,20
2022-02-21,POST,38
2022-02-22,POST,59
2022-02-23,POST,66
2022-02-24,POST,19
2022-02-25,POST,26
2022-02-26,POST,3
2022-02-27,POST,35
2022-02-28,POST,78
2022-03-01,POST,30
2022-03-02,POST,24
2022-03-03,POST,32
2022-03-04,POST,39
2022-03-05,POST,88
2022-03-06,POST,91
2022-03-07,POST,9
2022-03-08,POST,81
2022-03-09,POST,88
2022-03-10,POST,57
2022-03-11,POST,56
2022-03-12,POST,100
2022-03-13,POST,79
2022-03-14,POST,59
2022-03-15,POST,92
2022-03-16,POST,32
2022-03-17,POST,9
2022-03-18,POST,43
2022-03-19,POST,100
2022-03-20,POST,22
2022-03-21,POST,61
2022-03-22,POST,45
2022-03-23,POST,52
2022-03-24,POST,2
2022-03-25,POST,83
2022-03-26,POST,52
2022-03-27,POST,37
2022-03-28,POST,3
2022-03-29,POST,41
2022-03-30,POST,52
2022-03-31,POST,90
2022-04-01,POST,95
2022-04-02,POST,92
2022-04-03,POST,44
2022-04-04,POST,12
2022-04-05,POST,43
2022-04-06,POST,7
2022-04-07,POST,59
2022-04-08,POST,68
2022-04-09,POST,34
2022-04-10,POST,89
2022-04-11,POST,51
2022-04-12,POST,50
2022-04-13,POST,1
2022-04-14,POST,18
2022-04-15,POST,30
2022-04-16,POST,35
2022-04-17,POST,56
2022-04-18,POST,64
2022-04-19,POST,95
2022-04-20,POST,56
2022-04-21,POST,4
2022-04-22,POST,51
2022-04-23,POST,87
2022-04-24,POST,88
2022-04-25,POST,70
2022-04-26,POST,93
2022-04-27,POST,26
2022-04-28,POST,67
2022-04-29,POST,2
2022-04-30,POST,14
2022-05-01,POST,35
2022-05-02,POST,27
2022-05-03,POST,51
2022-05-04,POST,94
2022-05-05,POST,13
2022-05-06,POST,2
2022-05-07,POST,76
2022-05-08,POST,4
2022-05-09,POST,16
2022-05-10,POST,5
2022-05-11,POST,51
2022-05-12,POST,85
2022-05-13,POST,19
2022-05-14,POST,71
2022-05-15,POST,36
2022-05-16,POST,82
2022-05-17,POST,17
2022-05-18,POST,26
2022-05-19,POST,57
2022-05-20,POST,21
2022-05-21,POST,49
2022-05-22,POST,87
2022-05-23,POST,86
2022-05-24,POST,73
2022-05-25,POST,31
2022-05-26,POST,10
2022-05-27,POST,45
2022-05-28,POST,16
2022-05-29,POST,7
2022-05-30,POST,28
2022-05-31,POST,11
2022-06-01,POST,29
2022-06-02,POST,40
2022-06-03,POST,82
2022-06-04,POST,6
2022-06-05,POST,44
2022-06-06,POST,14
2022-06-07,POST,43
2022-06-08,POST,8
2022-06-09,POST,64
2022-06-10,POST,67
2022-06-11,POST,30
2022-06-12,POST,66
2022-06-13,POST,37
2022-06-14,POST,54
2022-06-15,POST,84
2022-06-16,POST,31
2022-06-17,POST,79
2022-06-18,POST,40
2022-06-19,POST,87
2022-06-20,POST,0
2022-06-21,POST,13
2022-06-22,POST,61
2022-06-23,POST,2
2022-06-24,POST,21
2022-06-25,POST,44
2022-06-26,POST,94
2022-06-27,POST,98
2022-06-28,POST,58
2022-06-29,POST,97
2022-06-30,POST,0
2022-07-01,POST,60
2022-07-02,POST,47
2022-07-03,POST,43
2022-07-04,POST,58
2022-07-05,POST,60
2022-07-06,POST,100
2022-07-07,POST,43
2022-07-08,POST,95
2022-07-09,POST,68
2022-07-10,POST,31
2022-07-11,POST,15
2022-07-12,POST,96
2022-07-13,POST,56
2022-07-14,POST,23
2022-07-15,POST,67
2022-07-16,POST,23
2022-07-17,POST,99
2022-07-18,POST,7
2022-07-19,POST,83
2022-07-20,POST,56
2022-07-21,POST,79
2022-07-22,POST,31
2022-07-23,POST,87
2022-07-24,POST,75
2022-07-25,POST,82
2022-07-26,POST,79
2022-07-27,POST,0
2022-07-28,POST,9
2022-07-29,POST,15
2022-07-30,POST,51
2022-07-31,POST,83
2022-08-01,POST,73
2022-08-02,POST,73
2022-08-03,POST,81
2022-08-04,POST,96
2022-08-05,POST,2
2022-08-06,POST,31
2022-08-07,POST,83
2022-08-08,POST,45
2022-08-09,POST,85
2022-08-10,POST,23
2022-08-11,POST,4
2022-08-12,POST,43
2022-08-13,POST,71
2022-08-14,POST,23
2022-08-15,POST,67
2022-08-16,POST,6
2022-08-17,POST,7
2022-08-18,POST,97
2022-08-19,POST,98
2022-08-20,POST,88
2022-08-21,POST,58
2022-08-22,POST,21
2022-08-23,POST,37
2022-08-24,POST,20
2022-08-25,POST,12
2022-08-26,POST,80
2022-08-27,POST,61
2022-08-28,POST,59
2022-08-29,POST,37
2022-08-30,POST,73
2022-08-31,POST,63
2022-09-01,POST,62
2022-09-02,POST,15
2022-09-03,POST,1
2022-09-04,POST,88
2022-09-05,POST,86
2022-09-06,POST,37
2022-09-07,POST,24
2022-09-08,POST,18
2022-09-09,POST,65
2022-09-10,POST,96
2022-09-11,POST,71
2022-09-12,POST,80
2022-09-13,POST,98
2022-09-14,POST,79
2022-09-15,POST,12
2022-09-16,POST,52
2022-09-17,POST,48
2022-09-18,POST,26
2022-09-19,POST,68
2022-09-20,POST,78
2022-09-21,POST,44
2022-09-22,POST,12
2022-09-23,POST,23
2022-09-24,POST,73
2022-09-25,POST,73
2022-09-26,POST,7
2022-09-27,POST,36
2022-09-28,POST,91
2022-09-29,POST,19
2022-09-30,POST,81
2022-10-01,POST,92
2022-10-02,POST,70
2022-10-03,POST,0
2022-10-04,POST,5
2022-10-05,POST,86
2022-10-06,POST,87
2022-10-07,POST,48
2022-10-08,POST,59
2022-10-09,POST,78
2022-10-10,POST,15
2022-10-11,POST,56
2022-10-12,POST,42
2022-10-13,POST,42
2022-10-14,POST,65
2022-10-15,POST,0
2022-10-16,POST,50
2022-10-17,POST,60
2022-10-18,POST,62
2022-10-19,POST,71
2022-10-20,POST,100
2022-10-21,POST,20
2022-10-22,POST,15
2022-10-23,POST,3
2022-10-24,POST,81
2022-10-25,POST,97
2022-10-26,POST,71
2022-10-27,POST,2
2022-10-28,POST,10
2022-10-29,POST,15
2022-10-30,POST,46
2022-10-31,POST,64
2022-11-01,POST,19
2022-11-02,POST,19
2022-11-03,POST,35
2022-11-04,POST,7
2022-11-05,POST,88
2022-11-06,POST,69
2022-11-07,POST,69
2022-11-08,POST,2
2022-11-09,POST,0
2022-11-10,POST,7
2022-11-11,POST,20
2022-11-12,POST,99
2022-11-13,POST,74
2022-11-14,POST,36
2022-11-15,POST,38
2022-11-16,POST,81
2022-11-17,POST,7
2022-11-18,POST,98
2022-11-19,POST,2
2022-11-20,POST,62
2022-11-21,POST,11
2022-11-22,POST,7
2022-11-23,POST,23
2022-11-24,POST,8
2022-11-25,POST,30
2022-11-26,POST,94
2022-11-27,POST,94
2022-11-28,POST,23
2022-11-29,POST,57
2022-11-30,POST,41
2022-12-01,POST,11
2022-12-02,POST,61
2022-12-03,POST,58
2022-12-04,POST,8
2022-12-05,POST,1
2022-12-06,POST,59
2022-12-07,POST,31
2022-12-08,POST,11
2022-12-09,POST,48
2022-12-10,POST,92
2022-12-11,POST,96
2022-12-12,POST,94
2022-12-13,POST,30
2022-12-14,POST,57
2022-12-15,POST,54
2022-12-16,POST,13
2022-12-17,POST,91
2022-12-18,POST,40
2022-12-19,POST,68
2022-12-20,POST,3
2022-12-21,POST,79
2022-12-22,POST,67
2022-12-23,POST,32
2022-12-24,POST,50
2022-12-25,POST,68
2022-12-26,POST,48
2022-12-27,POST,97
2022-12-28,POST,2
2022-12-29,POST,25
2022-12-30,POST,36
2022-12-31,POST,10
2023-01-01,POST,19
