Date,BankName,Rating
2022-01-01,UNCR,92
2022-01-02,UNCR,36
2022-01-03,UNCR,96
2022-01-04,UNCR,33
2022-01-05,UNCR,55
2022-01-06,UNCR,41
2022-01-07,UNCR,99
2022-01-08,UNCR,62
2022-01-09,UNCR,22
2022-01-10,UNCR,100
2022-01-11,UNCR,7
2022-01-12,UNCR,17
2022-01-13,UNCR,43
2022-01-14,UNCR,10
2022-01-15,UNCR,76
2022-01-16,UNCR,82
2022-01-17,UNCR,88
2022-01-18,UNCR,67
2022-01-19,UNCR,40
2022-01-20,UNCR,68
2022-01-21,UNCR,24
2022-01-22,UNCR,93
2022-01-23,UNCR,27
2022-01-24,UNCR,76
2022-01-25,UNCR,85
2022-01-26,UNCR,93
2022-01-27,UNCR,72
2022-01-28,UNCR,30
2022-01-29,UNCR,22
2022-01-30,UNCR,93
2022-01-31,UNCR,44
2022-02-01,UNCR,94
2022-02-02,UNCR,99
2022-02-03,UNCR,25
2022-02-04,UNCR,41
2022-02-05,UNCR,27
2022-02-06,UNCR,4
2022-02-07,UNCR,5
2022-02-08,UNCR,35
2022-02-09,UNCR,90
2022-02-10,UNCR,72
2022-02-11,UNCR,48
2022-02-12,UNCR,0
2022-02-13,UNCR,83
2022-02-14,UNCR,45
2022-02-15,UNCR,89
2022-02-16,UNCR,43
2022-02-17,UNCR,82
2022-02-18,UNCR,73
2022-02-19,UNCR,87
2022-02-20,UNCR,58
2022-02-21,UNCR,3
2022-02-22,UNCR,36
2022-02-23,UNCR,96
2022-02-24,UNCR,62
2022-02-25,UNCR,40
2022-02-26,UNCR,35
2022-02-27,UNCR,79
2022-02-28,UNCR,12
2022-03-01,UNCR,40
2022-03-02,UNCR,88
2022-03-03,UNCR,30
2022-03-04,UNCR,51
2022-03-05,UNCR,17
2022-03-06,UNCR,97
2022-03-07,UNCR,51
2022-03-08,UNCR,19
2022-03-09,UNCR,7
2022-03-10,UNCR,18
2022-03-11,UNCR,17
2022-03-12,UNCR,47
2022-03-13,UNCR,14
2022-03-14,UNCR,65
2022-03-15,UNCR,95
2022-03-16,UNCR,57
2022-03-17,UNCR,82
2022-03-18,UNCR,0
2022-03-19,UNCR,34
2022-03-20,UNCR,89
2022-03-21,UNCR,93
2022-03-22,UNCR,59
2022-03-23,UNCR,35
2022-03-24,UNCR,83
2022-03-25,UNCR,27
2022-03-26,UNCR,46
2022-03-27,UNCR,9
2022-03-28,UNCR,38
2022-03-29,UNCR,64
2022-03-30,UNCR,18
2022-03-31,UNCR,44
2022-04-01,UNCR,20
2022-04-02,UNCR,66
2022-04-03,UNCR,34
2022-04-04,UNCR,43
2022-04-05,UNCR,26
2022-04-06,UNCR,52
2022-04-07,UNCR,29
2022-04-08,UNCR,94
2022-04-09,UNCR,63
2022-04-10,UNCR,11
2022-04-11,UNCR,43
2022-04-12,UNCR,2
2022-04-13,UNCR,63
2022-04-14,UNCR,44
2022-04-15,UNCR,20
2022-04-16,UNCR,44
2022-04-17,UNCR,59
2022-04-18,UNCR,96
2022-04-19,UNCR,40
2022-04-20,UNCR,65
2022-04-21,UNCR,11
2022-04-22,UNCR,88
2022-04-23,UNCR,82
2022-04-24,UNCR,36
2022-04-25,UNCR,99
2022-04-26,UNCR,65
2022-04-27,UNCR,92
2022-04-28,UNCR,60
2022-04-29,UNCR,72
2022-04-30,UNCR,79
2022-05-01,UNCR,78
2022-05-02,UNCR,81
2022-05-03,UNCR,59
2022-05-04,UNCR,13
2022-05-05,UNCR,18
2022-05-06,UNCR,16
2022-05-07,UNCR,22
2022-05-08,UNCR,70
2022-05-09,UNCR,90
2022-05-10,UNCR,81
2022-05-11,UNCR,89
2022-05-12,UNCR,24
2022-05-13,UNCR,33
2022-05-14,UNCR,13
2022-05-15,UNCR,93
2022-05-16,UNCR,83
2022-05-17,UNCR,74
2022-05-18,UNCR,23
2022-05-19,UNCR,42
2022-05-20,UNCR,10
2022-05-21,UNCR,54
2022-05-22,UNCR,12
2022-05-23,UNCR,83
2022-05-24,UNCR,72
2022-05-25,UNCR,5
2022-05-26,UNCR,49
2022-05-27,UNCR,99
2022-05-28,UNCR,26
2022-05-29,UNCR,52
2022-05-30,UNCR,89
2022-05-31,UNCR,71
2022-06-01,UNCR,90
2022-06-02,UNCR,25
2022-06-03,UNCR,72
2022-06-04,UNCR,71
2022-06-05,UNCR,50
2022-06-06,UNCR,50
2022-06-07,UNCR,0
2022-06-08,UNCR,92
2022-06-09,UNCR,69
2022-06-10,UNCR,72
2022-06-11,UNCR,27
2022-06-12,UNCR,3
2022-06-13,UNCR,49
2022-06-14,UNCR,46
2022-06-15,UNCR,99
2022-06-16,UNCR,79
2022-06-17,UNCR,23
2022-06-18,UNCR,3
2022-06-19,UNCR,46
2022-06-20,UNCR,42
2022-06-21,UNCR,78
2022-06-22,UNCR,60
2022-06-23,UNCR,49
2022-06-24,UNCR,22
2022-06-25,UNCR,16
2022-06-26,UNCR,15
2022-06-27,UNCR,37
2022-06-28,UNCR,39
2022-06-29,UNCR,11
2022-06-30,UNCR,23
2022-07-01,UNCR,31
2022-07-02,UNCR,12
2022-07-03,UNCR,36
2022-07-04,UNCR,18
2022-07-05,UNCR,32
2022-07-06,UNCR,47
2022-07-07,UNCR,87
2022-07-08,UNCR,30
2022-07-09,UNCR,8
2022-07-10,UNCR,45
2022-07-11,UNCR,59
2022-07-12,UNCR,71
2022-07-13,UNCR,81
2022-07-14,UNCR,1
2022-07-15,UNCR,81
2022-07-16,UNCR,90
2022-07-17,UNCR,81
2022-07-18,UNCR,44
2022-07-19,UNCR,17
2022-07-20,UNCR,81
2022-07-21,UNCR,0
2022-07-22,UNCR,82
2022-07-23,UNCR,100
2022-07-24,UNCR,66
2022-07-25,UNCR,34
2022-07-26,UNCR,91
2022-07-27,UNCR,85
2022-07-28,UNCR,60
2022-07-29,UNCR,38
2022-07-30,UNCR,80
2022-07-31,UNCR,56
2022-08-01,UNCR,18
2022-08-02,UNCR,62
2022-08-03,UNCR,76
2022-08-04,UNCR,99
2022-08-05,UNCR,88
2022-08-06,UNCR,62
2022-08-07,UNCR,9
2022-08-08,UNCR,93
2022-08-09,UNCR,24
2022-08-10,UNCR,27
2022-08-11,UNCR,48
2022-08-12,UNCR,26
2022-08-13,UNCR,2
2022-08-14,UNCR,67
2022-08-15,UNCR,65
2022-08-16,UNCR,28
2022-08-17,UNCR,74
2022-08-18,UNCR,100
2022-08-19,UNCR,96
2022-08-20,UNCR,22
2022-08-21,UNCR,30
2022-08-22,UNCR,32
2022-08-23,UNCR,39
2022-08-24,UNCR,59
2022-08-25,UNCR,3
2022-08-26,UNCR,68
2022-08-27,UNCR,84
2022-08-28,UNCR,57
2022-08-29,UNCR,25
2022-08-30,UNCR,92
2022-08-31,UNCR,67
2022-09-01,UNCR,12
2022-09-02,UNCR,92
2022-09-03,UNCR,17
2022-09-04,UNCR,35
2022-09-05,UNCR,69
2022-09-06,UNCR,62
2022-09-07,UNCR,76
2022-09-08,UNCR,95
2022-09-09,UNCR,75
2022-09-10,UNCR,68
2022-09-11,UNCR,52
2022-09-12,UNCR,12
2022-09-13,UNCR,88
2022-09-14,UNCR,56
2022-09-15,UNCR,11
2022-09-16,UNCR,50
2022-09-17,UNCR,89
2022-09-18,UNCR,19
2022-09-19,UNCR,46
2022-09-20,UNCR,98
2022-09-21,UNCR,2
2022-09-22,UNCR,43
2022-09-23,UNCR,52
2022-09-24,UNCR,33
2022-09-25,UNCR,79
2022-09-26,UNCR,65
2022-09-27,UNCR,73
2022-09-28,UNCR,15
2022-09-29,UNCR,88
2022-09-30,UNCR,83
2022-10-01,UNCR,42
2022-10-02,UNCR,38
2022-10-03,UNCR,92
2022-10-04,UNCR,83
2022-10-05,UNCR,28
2022-10-06,UNCR,99
2022-10-07,UNCR,65
2022-10-08,UNCR,18
2022-10-09,UNCR,17
2022-10-10,UNCR,82
2022-10-11,UNCR,47
2022-10-12,UNCR,50
2022-10-13,UNCR,80
2022-10-14,UNCR,80
2022-10-15,UNCR,91
2022-10-16,UNCR,26
2022-10-17,UNCR,79
2022-10-18,UNCR,36
2022-10-19,UNCR,4
2022-10-20,UNCR,16
2022-10-21,UNCR,83
2022-10-22,UNCR,61
2022-10-23,UNCR,47
2022-10-24,UNCR,78
2022-10-25,UNCR,56
2022-10-26,UNCR,92
2022-10-27,UNCR,76
2022-10-28,UNCR,43
2022-10-29,UNCR,98
2022-10-30,UNCR,69
2022-10-31,UNCR,80
2022-11-01,UNCR,3
